,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph
609,1217How does a tumor grow and spread?,1217,How do forests form?,Natural Sciences,Biomedical and Health Sciences,How does a tumor grow and spread?,Biomedical and Health Sciences,"(seed, germinates, soil) like (cell, divides, tissue). (trees, absorb, sunlight) like (cancer cells, absorb, nutrients). (roots, anchor, tree) like (invasion, spreads, metastasis)","Forests are formed when a seed germinates in the soil. As the trees grow, they absorb sunlight and convert it into energy. Their roots anchor the tree to the ground and provide it with essential nutrients and minerals. The trees also help to conserve water and protect the soil from erosion.","Tumor growth begins when a single cell divides and accumulates enough tissue to become visible. As the tumor grows, cancer cells absorb the nutrients they need to further divide and spread. This process of invasion, known as metastasis, can spread the cancer to other parts of the body."
615,1080How does a government policy impact society?,1080,How does a coal-fired power plant work?,Engineering,Social Sciences,How does a government policy impact society?,Social Sciences,"(coal, generates, heat energy) like (policy, generates, social change). (steam, powers, turbine) like (ideas, powers, public opinion). (electricity, provides, energy) like (laws, provides, security)","A coal-fired power plant works by burning coal to generate heat energy. This heat energy is used to heat water into steam, which then powers a turbine. The turbine rotates, producing mechanical energy which is then converted into electricity. This electricity is then used to provide energy to the power grid.","Government policy can generate social change by introducing new ideas that power public opinion and shape the way society operates. Laws created by policy provide a level of security and stability to the public, giving individuals an assurance of safety and well-being. By introducing new policies, governments can shape the direction of society and create a positive environment."
616,842How does a voting system work?,842,How does an electromagnet work?,Engineering,Social Sciences,How does a voting system work?,Political Science,"(electromagnet, creates, magnetic field) like (voting system, creates, political representation). (electric current, produces, magnetic field) like (voters, produces, legislative decisions). (magnetic field, attracts, metal objects) like (opinion polls, attracts, public support)","An electromagnet is an object that creates a magnetic field when electric current is passed through it. Electric current produces a magnetic field which is responsible for attracting metal objects. This magnetic field is generated when the electric current passes through the wire of the electromagnet, which causes the metal objects to move towards it.","A voting system creates political representation by allowing the public to elect representatives to legislative decisions. It allows voters to produce the government's decisions, and opinion polls can help attract public support for those decisions. By providing a platform for public involvement, voting systems ensure that the public's voice is heard and represented in legislative decisions."
620,207How does a machine utilize a rotary motion?,207,How do muscles work?,Biomedical and Health Sciences,Engineering,How does a machine utilize a rotary motion?,Mechanical Engineering,"(muscles, contract, bones) like (motor, rotate, axle). (fibers, produce, tension) like (gear, produce, torque). (nerves, transmit, signals) like (sensors, transmit, data)","Muscles work by contracting and relaxing, causing bones to move. Muscles are made up of fibers that produce tension. In order for the muscles to contract, they require signals from nerves that transmit to the muscle. These signals cause the muscles to contract and produce tension, resulting in movement of the bones.","A motor is used to rotate an axle, and a gear system is used to produce torque. The rotary motion from the motor is then harnessed by the gear system and used to produce a desired torque. Sensors are also utilized to measure the motion of the axle and transmit the data back to the machine."
626,57How does a building's structural frame work?,57,How does snow form?,Natural Sciences,Engineering,How does a building's structural frame work?,Structural Engineering,"(water vapor, condenses, into snowflakes) like (steel beams, hold together, the building). (temperature, drops, below freezing point) like (load, applied, to the columns). (precipitation, accumulates, on the ground) like (structural elements, fastened, together)","Water vapor in the atmosphere condenses into tiny ice crystals which eventually form snowflakes. The temperature needs to drop below the freezing point for snow to form. As the snowflakes accumulate, they form precipitation which falls to the ground and accumulates there.","The building's structural frame is held together by steel beams. These beams provide support for the load that is applied to the columns. The structural elements are fastened together to create the frame and provide stability for the building. The steel beams also help to distribute the load to the columns, which helps to keep the building's structural integrity intact."
632,1060How does a voting process work?,1060,How does a dishwasher work?,Engineering,Social Sciences,How does a voting process work?,Political Science,"(detergent, aids in, cleaning) like (regulations, aids in, fair elections). (spray arm, circulates, water) like (voters, circulates, information). (drain, removes, water) like (ballot box, removes, ballots)","A dishwasher works by using detergent to help with cleaning. The detergent dissolves and helps to break down food particles. The water is then circulated through a spray arm that sprays the water onto the dishes. The water is then drained from the dishwasher, taking the dirt and debris with it, and removing the water from the dishwasher.","The voting process is regulated by certain regulations in order to ensure fair elections. Voters circulate information on the candidates and their positions in order to make an informed decision. Once the voting has begun, voters cast their ballots into the ballot box, which then removes the ballots and count the votes. The ballots are then tallied and the results are announced."
639,518How does a robotic system of underwater navigation work?,518,Describe the life cycle of a fish,Natural Sciences,Engineering,How does a robotic system of underwater navigation work?,Robotics Engineering,"(fertilized eggs, hatch, tadpoles) like (sensors, detect, obstacles). (larvae, develop, adult) like (programming, develop, autonomous behavior). (adults, migrate, spawning grounds) like (robots, move, designated coordinates)","The life cycle of a fish begins with the fertilized eggs hatching into tadpoles. The tadpoles develop into larvae, which grow and mature into adult fish. The adults then migrate to the spawning grounds, where they lay eggs and the cycle begins again.","Robotic systems of underwater navigation use sensors to detect obstacles in the environment. This information is then used to program the system, which helps to develop autonomous behavior for the robots. The robots are then able to move towards designated coordinates by following the programmed behaviors."
642,1080How does a social media platform work?,1080,How does a coal-fired power plant work?,Engineering,Social Sciences,How does a social media platform work?,Social Sciences,"(coal, produces, heat) like (data, produces, information). (heat, drives, turbines) like (information, drives, decisions) . (turbines, generate, electricity) like (decisions, generate, outcomes)","A coal-fired power plant works by burning coal to produce heat. This heat is used to drive turbines, which generate electricity. The heat produced by the burning of coal is used to drive the turbines, which in turn produces electricity. The turbines convert the kinetic energy of the heat into electrical energy, thus producing electricity.","A social media platform works by collecting data from its users. This data is then processed to produce information that drives decisions. These decisions can then be used to generate various outcomes, such as product recommendations or targeted advertising."
646,413How does the human cardiovascular system work?,413,How does the human auditory system work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the human cardiovascular system work?,Biomedical and Health Sciences,"(ear drum, vibrates, sound waves) like (arteries, pumps, blood). (cochlea, converts, sound waves) like (heart, pumps, oxygen-rich blood). (auditory nerve, transmits, signals) like (veins, carries, oxygen-depleted blood)","The human auditory system begins when sound waves strike the ear drum and cause it to vibrate. The vibrations then travel to the cochlea, which converts the sound waves into electrical signals. The auditory nerve then transmits these signals to the brain, allowing us to perceive sound.","The human cardiovascular system is responsible for delivering oxygen and nutrients to the body's cells and removing carbon dioxide and other waste products. The heart pumps oxygen-rich blood through the arteries, which then pumps the blood throughout the body. The veins carry the oxygen-depleted blood back to the heart, where it is re-oxygenated and circulated again. This continuous process of circulation helps ensure that the body's cells are supplied with oxygen and nutrients and that waste products are removed."
661,48How does civil unrest affect the economy?,48,What happens during a vocanic eruption?,Natural Sciences,Social Sciences,How does civil unrest affect the economy?,Economics,"(lava, erupts, volcano) like (people, protest, government). (ash, spreads, environment) like (ideology, spreads, society). (magma, produces, heat) like (unemployment, produces, poverty)","During a volcanic eruption, molten lava is ejected from the volcano and onto the surface. This lava is produced by the magma underneath the volcano, which generates immense heat. The ash from the eruption is propelled into the atmosphere and is spread throughout the environment. The ash and lava from the volcano can cause extensive damage to the surrounding land.","When people protest the government, negative sentiment can spread throughout society. This can lead to reduced consumer confidence and a decrease in economic activity. Furthermore, the disruption of businesses can lead to unemployment, which in turn can produce poverty and further unrest. In conclusion, civil unrest can have a significant effect on the economy."
665,1273How does a robotic arm work?,1273,How does pollination happen?,Natural Sciences,Engineering,How does a robotic arm work?,Robotics Engineering,"(bees, transfer, pollen) like (arm, transfer, object). (nectar, attract, bees) like (programming, attract, robotic arm). (flower, provide, nectar) like (sensor, provide, data)","Pollination is the process of transferring pollen from one flower to another. Bees are an essential part of this process, as they are attracted to the nectar of the flower and in the process, they collect pollen from the anthers and transfer it to the stigma of another flower. The flower provides the bees with nectar, which acts as an incentive for them to carry out the pollination process.","A robotic arm is an automated machine used to transfer objects from one location to another. Programming is used to attract the robotic arm, allowing it to interact with the environment. Sensors provide data to the robotic arm so it can accurately perform its task. The robotic arm uses this data to move objects in a predetermined path."
668,1094How does a virus reproduce?,1094,How is a white dwarf star formed?,Natural Sciences,Biomedical and Health Sciences,How does a virus reproduce?,Biomedical and Health Sciences,"(protons, fuse together, helium nuclei) like (genes, replicate, RNA strands) . (temperature, increases, pressure) like (host cells, provide, nutrients) . (energy, released, nuclear reaction) like (enzymes, facilitate, replication)","A white dwarf star is formed when protons fuse together to form helium nuclei. As the nuclear reaction continues, the temperature and pressure of the star increases, and energy is released. This energy is what keeps the star in equilibrium.","Viruses reproduce by taking over host cells and using them to produce more copies of the virus. The virus’s genes are first replicated into RNA strands, which then enter the host cell. The cell provides the necessary nutrients for the virus to thrive, and enzymes within the virus facilitate the replication of the genes."
669,1213How does a bridge support a heavy load?,1213,How do icebergs form?,Natural Sciences,Engineering,How does a bridge support a heavy load?,Structural Engineering,"(water, freezes, air) like (steel, supports, weight). (snow, accumulates, layers) like (foundation, absorbs, loads). (ice, expands, cracks) like (columns, stabilizes, structure)","Icebergs form when water freezes in the air. The water accumulates in layers of snow, and as the snow freezes, it compacts and forms large blocks of ice. As the ice continues to expand, it eventually cracks and breaks off from the shore.","A bridge is designed to support a heavy load. The steel of the bridge is strong enough to support the weight of the load. The foundation of the bridge is engineered to absorb the various loads that the bridge will be under. Additionally, the columns of the bridge are important in stabilizing the structure and ensuring that the bridge will not collapse under the weight."
671,690Describe the process of building a house.,690,Describe the process of planting crops.,Natural Sciences,Social Sciences,Describe the process of building a house.,Construction Engineering,"(seeds, plant, soil) like (bricks, lay, foundation). (water, provide, nutrients) like (cement, provide, stability). (sunlight, enable, photosynthesis) like (electricity, enable, lighting)","The process of planting crops begins with sowing seeds in the soil. Once the seeds are in place, water must be provided to help the crops grow. This water helps the crops absorb the nutrients they need to thrive. In addition, sunlight is essential for the process of photosynthesis, which is necessary for the crops to grow and develop.","Building a house starts with laying a foundation of bricks and cement. The cement provides stability for the house, while the bricks create a strong base. After the foundation is laid, other materials like wood and plaster are used to form the walls. Once the walls are up, electricity can be installed to enable lighting and other electric amenities. This process is repeated until the house is complete."
681,701Describe the process of the immune system,701,Describe the process of the greenhouse effect,Natural Sciences,Biomedical and Health Sciences,Describe the process of the immune system,Biomedical and Health Sciences,"(sunlight, traps, heat) like (antigens, triggers, antibodies). (greenhouse gases, absorb, infrared radiation) like (lymphocytes, recognize, pathogens). (atmospheric temperature, increases, global warming) like (immune response, increases, defense)","The greenhouse effect is a natural process in which the sun’s sunlight is trapped in the Earth’s atmosphere. This trapped heat is then absorbed by certain gases, such as carbon dioxide and methane, which are known as greenhouse gases. As these gases absorb infrared radiation, the atmospheric temperature increases, leading to global warming.","The immune system is an intricate network of cells and organs that protect the body from external invaders such as bacteria and viruses. When antigens are present, they trigger the production of antibodies. Lymphocytes, specialized immune cells, recognize pathogens and initiate an immune response. This response increases the body's defense against foreign invaders."
682,675Describe the process of mitosis,675,Describe the process of fossilization,Natural Sciences,Biomedical and Health Sciences,Describe the process of mitosis,Biomedical and Health Sciences,"(debris, covers, organism) like (cells, divide, organelles). (sediments, compress, remains) like (chromosomes, duplicate, nucleus). (minerals, replace, tissues) like (centrioles, replicate, centrosomes)","Fossilization is the process of preserving the remains of an organism from millions of years ago. It begins with debris covering the organism and sediment compressing the remains. Over time, minerals and other elements replace the tissues of the organism and harden, resulting in a fossil.","Mitosis is a process in which cells divide to create two identical daughter cells. During the process, the organelles are duplicated, forming two copies. The nucleus of the cell also undergoes changes, as the chromosomes duplicate themselves and form two identical sets. The centrioles then replicate to form two centrosomes. These centrosomes are essential for the alignment and separation of the chromosomes during the process of mitosis."
686,880How does a socio-political system works?,880,How does rain occur?,Natural Sciences,Social Sciences,How does a socio-political system works?,Social Sciences,"(evaporation, produces, water vapor) like (rules, produces, regulations). (condensation, creates, clouds) like (culture, creates, traditions). (cold air, pushes, warm air) like (power, pushes, authority)","Rain occurs when the sun heats water in the oceans and on land, resulting in evaporation which produces water vapor. This vapor rises into the atmosphere and cools, forming condensation which creates clouds. The cold air in the clouds pushes the warm air downward, resulting in moisture falling from the clouds as rain.","A socio-political system is composed of rules and regulations that are established in order to maintain order within a society. These rules produce regulations that need to be followed in order to ensure a functioning system. Culture also plays a role in a socio-political system as it creates traditions and customs that are accepted and followed within a society. Lastly, power is an important element of a socio-political system. It pushes authority and influences decision-making at different levels of the political system."
691,476Describe the process of population growth,476,Describe the process of global warming,Natural Sciences,Social Sciences,Describe the process of population growth,Sociology,"(greenhouse gases, trap, heat) like (births, increase, population size). (temperature, rises, atmosphere) like (migration, changes, population size). (emissions, increase, CO2 levels) like (fertility, affects, population size)","Global warming is the process of increasing temperatures in the Earth's atmosphere due to the trapping of heat by greenhouse gases. The increasing emissions of CO2 into the atmosphere causes an increase in the levels of these gases, which in turn traps more heat and increases the overall temperature of the atmosphere. This rise in temperature is what is known as global warming.","Population growth is determined by a variety of factors. Births are one of the main drivers of population growth, increasing the population size. Migration also affects the population size, as people move in and out of an area. Fertility is another important factor in population growth, as it has a direct effect on the population size."
694,705Describe the process of administering a vaccine,705,Describe the process of writing and posting a letter,Social Sciences,Biomedical and Health Sciences,Describe the process of administering a vaccine,Biomedical and Health Sciences,"(pen, compose, message) like (syringe, administer, vaccine). (paper, mail, envelope) like (needle, inject, medicine). (stamp, affix, address) like (thermometer, measure, temperature)","The process of writing and posting a letter begins with composing the message with a pen and paper. Once the message is written, the paper is placed in an envelope and the address is affixed with a stamp. Finally, the envelope is mailed to its destination.","The process of administering a vaccine begins with preparing the syringe. The syringe is used to administer the vaccine, which is injected into the patient using a needle. Before administering the vaccine, a thermometer is used to measure the patient's temperature. Once the temperature is determined to be safe, the vaccine is administered. The needle is used to inject the medicine into the patient, and the vaccine begins to take effect."
697,721How does a turbine engine work?,721,How are clouds formed?,Natural Sciences,Engineering,How does a turbine engine work?,Mechanical Engineering,"(water vapor, condenses, droplets) like (combustion, generates, thrust). (sunlight, heats, air) like (fuel, combusts, air). (atmosphere, rises, clouds) like (exhaust, escapes, nozzle)","When water vapor in the atmosphere condenses into tiny droplets, clouds are formed. The Sun's rays heat the air, causing it to rise and form clouds. As the air rises, the water vapor condenses into droplets, which form clouds. The droplets continue to rise until they become too heavy to remain suspended in the atmosphere, forming clouds in the sky.","A turbine engine works by using combustion to generate thrust. The fuel combusts with the air, creating a hot exhaust that expands and escapes through a nozzle. This exhaust is then forced out of the nozzle, creating a reaction force that propels the turbine engine forward. The combustion process also generates heat that helps to increase the efficiency of the engine. The exhaust then escapes through the nozzle, creating additional thrust."
705,1105How does a society evolve over time?,1105,How do mountains form?,Natural Sciences,Social Sciences,How does a society evolve over time?,Sociology,"(tectonic plates, collide, crust) like (culture, intermixes, people). (folds, create, ridges) like (traditions, shape, behavior). (erosion, wear down, peaks) like (laws, modify, societies)","Mountains form when tectonic plates collide and push against the Earth's crust. The pressure from the plates causes folds in the crust, which create ridges and peaks. Over time, erosion and weathering wear down the peaks, creating the jagged mountain shapes we see today.","Societies evolve over time as culture intermixes between different people. Traditions shape the behavior of individuals and communities, and laws constantly modify the dynamics of societies. Different cultures and values come together to form a distinct society that can be seen as a reflection of its inhabitants. As time progresses, different traditions and laws are adopted and adapted to create a unique and ever-evolving society."
706,628How does a mechanical system of gears work?,628,Describe how the pancreas works,Biomedical and Health Sciences,Engineering,How does a mechanical system of gears work?,Mechanical Engineering,"(pancreas, produces, insulin) like (gears, produces, motion). (blood sugar, triggers, release of insulin) like (load, triggers, movement of gears). (insulin, regulates, sugar levels) like (gear ratio, regulates, speed)","The pancreas is a small organ that produces insulin. When the blood sugar levels rise, it triggers the release of insulin. Insulin is a hormone that is released into the bloodstream, which helps to regulate the sugar levels in the body.","A mechanical system of gears works by allowing the load to trigger the movement of the gears. The meshing of the gears produces motion, and the gear ratio regulates the speed of the motion. The gear ratio is determined by the number of teeth on each gear, and the size of the gears affects the torque generated by the system."
708,675Describe the process of cell differentiation,675,Describe the process of fossilization,Natural Sciences,Biomedical and Health Sciences,Describe the process of cell differentiation,Biomedical and Health Sciences,"(remains, get covered, sedimentary rocks) like (cells, get separated, multicellular organism). (chemicals, form, mineral deposits) like (hormones, stimulate, cell development). (organic matter, decompose, fossils) like (genes, control, cell specialization)","Fossilization is the process by which remains of organisms get covered by sedimentary rocks, which helps preserve them. This also initiates a process where chemicals in the environment form mineral deposits on the remains. As these deposits build up, the organic matter of the remains decomposes and eventually forms fossils.","Cell differentiation is the process in which cells get separated and specialize in order to form a multicellular organism. Hormones and other external stimuli stimulate cell development and the expression of certain genes. These genes control the cell specialization, allowing cells to progress along a certain pathway of development."
713,1151Describe how a turbine generator works,1151,Describe how radioactive atoms decay,Natural Sciences,Engineering,Describe how a turbine generator works,Mechanical Engineering,"(Radioactive atoms, emit, particles) like (Turbine, converts, mechanical energy). (Alpha particles, travel, slowly) like (Generator, produces, electricity). (Beta particles, travel, quickly) like (Rotor, rotates, rapidly)","Radioactive atoms emit particles in order to become more stable. Alpha particles are the largest and slowest of these particles, while Beta particles are smaller and travel much faster. The particles emitted from the radioactive atoms depend on the type of atom decaying. Alpha particles are released from atoms with larger nuclei, while Beta particles are released from atoms with smaller nuclei.","A turbine generator is a machine that converts mechanical energy into electricity. The turbine consists of a rotor that is turned by a source of energy, such as steam, gas, or water. As the rotor rotates rapidly, it causes the generator to produce electricity. The electricity is then converted into useful energy for powering homes and businesses."
729,381How does a mechanical system of water pump works?,381,How does a virus infect an animal?,Biomedical and Health Sciences,Engineering,How does a mechanical system of water pump works?,Mechanical Engineering,"(virus, invades, cell) like (pump, enters, system). (virus, replicates, copies) like (pump, circulates, water). (virus, causes, damage) like (pump, creates, motion)","A virus invades a cell and begins to replicate copies of itself. These copies infect other nearby cells, and the process continues until the virus has spread throughout the animal's body. As the virus replicates, it causes damage to the cells it infects, leading to the symptoms of the viral infection.","A water pump enters the mechanical system. The pump circulates water through the system, creating motion. The motion created by the pump propels the water through the system, allowing it to be used for various purposes."
730,935How does mass media shape public opinion?,935,What happens during erosion by the ocean?,Natural Sciences,Social Sciences,How does mass media shape public opinion?,Media Studies,"(waves, erode, coastlines) like (information, influences, beliefs). (sediment, carries away, rocks) like (persuasion, carries away, opinions). (tide, changes, shorelines) like (influence, changes, behavior)",The ocean's waves erode coastlines by carrying away sediment and rocks. The tide changes shorelines over time as the waves erode the land and carry away sediment and rocks. This process is known as erosion by the ocean.,"Mass media has a powerful influence on public opinion. Through the spread of information, it influences people's beliefs and opinions. Mass media has the power to persuade people and carry them away with their opinions. Its influence can be so strong that it can even change people's behavior."
747,484Describe the process of photosynthesis,484,Describe the process of writing and posting a letter,Social Sciences,Natural Sciences,Describe the process of photosynthesis,Biology,"(writing, compose, letter) like (chloroplasts, compose, glucose). (posting, transport, letter) like (carbon dioxide, transport, plant). (ink, absorb, paper) like (sunlight, absorb, chlorophyll)","Writing a letter involves composing the message on paper. The paper is then saturated with ink and allowed to absorb it. The letter is then folded, sealed, addressed, and posted. Posting the letter involves transporting it to its destination. The ink is necessary to ensure the words are readable and can be seen on the paper.","Photosynthesis is the process by which plants produce glucose. Chloroplasts in the plant absorb sunlight and use the energy to transport carbon dioxide and water into the plant. The energy from the sunlight is absorbed by chlorophyll, which is then used to compose glucose."
749,1107Describe the life cycle of a car.,1107,Describe the life cycle of a plant.,Natural Sciences,Engineering,Describe the life cycle of a car.,Automotive Engineering,"(seeds, germinate, sprouts) like (parts, assemble, vehicle). (sunlight, absorbs, nutrients) like (energy, powers, engine). (flower, blooms, petals) like (exhaust, emits, fumes)","The life cycle of a plant begins with the germination of a seed. This process causes the seed to sprout and grow into a mature plant. The plant relies on sunlight to absorb the nutrients it needs to survive. As the plant matures, it will eventually produce a flower with colorful petals. The flower blooms and eventually dies, releasing seeds that will begin the life cycle anew.","The life cycle of a car begins with the assembly of its parts. Energy is then used to power the engine, which propels the vehicle. As the car is driven, exhaust is emitted from the engine, releasing fumes into the air. The car can then be serviced and maintained to ensure its optimal performance."
754,256Describe the process of communication.,256,Describe the process of breathing.,Natural Sciences,Social Sciences,Describe the process of communication.,Social Sciences,"(lungs, draw in, oxygen) like (person, conveys, message). (diaphragm, contracts, air) like (words, express, ideas). (alveoli, absorb, oxygen) like (listener, absorbs, information)","The process of breathing starts with the lungs drawing in air. The diaphragm contracts, causing air to be drawn into the lungs. The alveoli then absorb the oxygen from the air, which is then transferred to the bloodstream. The lungs then release the air which is rich in carbon dioxide, completing the process of breathing.","Communication is the process of conveying a message from one person to another. The message is expressed through the use of words, symbols, and gestures which express ideas. The listener absorbs the information and decodes it to understand the message that was conveyed."
755,1127Describe the process by which a typical political election takes place.,1127,Describe the process by which hurricanes form.,Natural Sciences,Social Sciences,Describe the process by which a typical political election takes place.,Political Science,"(Air pressure, decreases, warm air) like (Public opinion, decreases, voting power), (Humidity, increases, hurricane strength) like (Campaigning, increases, candidate support), (High winds, cause, storm surges) like (Media coverage, causes, voter mobilization).","The process of hurricane formation begins when warm air in the atmosphere rises, creating an area of low air pressure. This decrease in air pressure causes the warm air to begin swirling around in a circular motion. As the warm air rises, it cools and forms a cloud, eventually leading to the formation of a hurricane.","The process of a typical political election starts with public opinion. This is often measured by polls and surveys, which can have a significant impact on the outcome by decreasing the voting power of certain candidates. On Election Day, people typically head to their polling places to cast their ballots. In some cases, the local climate can influence the voting process, as high levels of humidity can increase the strength of hurricanes, potentially preventing people from getting to the polls."
756,784How do computers use networks to transmit data?,784,How do plants use animals to help disburse their seeds?,Natural Sciences,Engineering,How do computers use networks to transmit data?,Computer Engineering,"(fruits, transport, seeds) like (data, transmit, packets). (birds, carry, seeds) like (routers, relay, packets). (squirrels, bury, seeds) like (servers, store, data)","Plants use animals to help disburse their seeds. Fruits transport the seeds and animals like birds and squirrels carry and bury the seeds in different locations. Birds will carry the seeds away from the parent plant, while squirrels may bury them somewhere nearby. This helps to ensure that the seeds are spread to new areas and have a greater chance of germinating.","When computers use networks to transmit data, the data is broken into small packets and sent over the network. Routers are used to relay these packets from one computer to another. Servers are also used to store large amounts of data, allowing for quicker transmission of data across the network."
763,689Describe the process of constructing a bridge.,689,Describe the process of planting crops.,Natural Sciences,Engineering,Describe the process of constructing a bridge.,Civil Engineering,"(seeds, planted, soil) like (steel beams, placed, foundation). (fertilizer, added, soil) like (cement, added, foundation). (water, supplied, soil) like (rebar, supplied, foundation)","Planting crops involves a few simple steps. First, seeds are planted in the soil. Then, fertilizer can be added to the soil to ensure that the plants receive the nutrients they need. Finally, water must be supplied to the soil to keep the plants hydrated. By following these steps, farmers can ensure that their crops will grow healthy and strong.",The first step in constructing a bridge is to place steel beams on the foundation. These steel beams act as the main support for the bridge and provide the necessary strength. Cement is then added to the foundation which helps to provide stability and support. Rebar is also supplied to the foundation to further strengthen the foundation and bridge structure.
767,315How do animals adapt to their environment?,315,How does weathering cause rocks to break apart?,Natural Sciences,Natural Sciences,How do animals adapt to their environment?,Ecology,"(rain, erodes, rocks) like (heat, shapes, behavior). (wind, tears, apart) like (predators, alters, physiology). (sunlight, fades, color) like (competition, changes, habitat)","Weathering is the process of breaking apart rocks over time. Rain erodes rocks and wind can tear apart its surface. Sunlight can also cause fading of the rocks color over time. Ultimately, the combination of these elements causes the rocks to break apart and become smaller pieces.","Animals can adapt to their environment in a variety of ways. The heat of an environment can shape the behavior of an animal, as certain behaviors may be more effective in hotter climates. The presence of predators can alter the physiology of an animal, as certain adaptations may help it escape potential threats. Competition for resources can also change the habitat of an animal, as certain species may move in search of food or resources."
769,930What happens during a virus outbreak?,930,What happens during a vocanic eruption?,Natural Sciences,Biomedical and Health Sciences,What happens during a virus outbreak?,Biomedical and Health Sciences,"(magma, erupts, from the Earth's surface) like (virus, spreads, from person to person). (gases, escape, from the volcano) like (germs, escape, from an infected person). (lava, flows, downhill) like (infection, spreads, from person to person)","During a volcanic eruption, magma is forcefully ejected from the Earth's surface. This magma contains a variety of gases that escape from the volcano during the eruption. The magma is then cooled and solidified, forming lava which flows downhill. The lava can eventually fill up depressions, creating a new landscape.","During a virus outbreak, the virus spreads from person to person. When an infected person coughs or sneezes, germs escape and can be inhaled by another person. Once those germs enter the body of an uninfected person, the infection spreads from person to person."
772,919What factors cause a pandemic to spread?,919,What causes an earthquake to occur?,Natural Sciences,Social Sciences,What factors cause a pandemic to spread?,Social Sciences,"(tectonic plates, shift, Earth's surface) like (people, move, different places). (fault lines, rupture, rocks) like (germs, spread, human population). (seismic waves, propagate, ground) like (virus, propagate, people)","Earthquakes occur when tectonic plates shift, causing a disturbance in the Earth's surface. The movement of the tectonic plates causes fault lines to rupture, causing rocks to break. The sudden release of energy causes seismic waves to propagate through the ground, resulting in an earthquake.","The spread of a pandemic is caused by people moving to different places, which allows germs to spread among the human population. The virus can easily propagate among people due to the close proximity of individuals. This allows the virus to spread quickly and cause a pandemic."
780,676Describe the process of photosynthesis,676,Describe the process of fossilization,Natural Sciences,Natural Sciences,Describe the process of photosynthesis,Biology,"(organic matter, becomes, fossilized) like (carbon dioxide, becomes, oxygen). (sediment, covers, remains) like (chlorophyll, absorbs, sunlight). (fossil, preserved, over time) like (sugar, produced, over time)","Fossilization is the process by which organic matter becomes fossilized. It typically happens when sediment covers the remains of plants and animals and prevents further decay. This sediment compresses the remains, and over time, the organic matter is replaced with minerals, resulting in a fossil that is preserved for millions of years.","Photosynthesis is the process by which plants use energy from the sun to convert carbon dioxide into oxygen. This process is carried out in the plant's chlorophyll, which absorbs sunlight and converts it into energy. Over time, this energy is used to convert CO2 into oxygen, and also to produce sugar for the plant's energy needs."
783,1294Describe the typical steps in creating a vaccine.,1294,Describe the typical steps in making coffee.,Engineering,Biomedical and Health Sciences,Describe the typical steps in creating a vaccine.,Biomedical and Health Sciences,"(ground coffee, steeps in, hot water) like (vaccine ingredients, mix in, adjuvant). (filter, strains, liquid) like (centrifuge, separates, components). (coffee, poured, cup) like (vaccine, administered, patient)","Typically, to make coffee, ground coffee is steeped in hot water. This allows the hot water to extract the flavor from the ground coffee. The liquid is then strained through a filter, which removes the ground coffee. Finally, the coffee is poured into a cup, and the drink is ready to enjoy.","The typical steps in creating a vaccine involve mixing the vaccine ingredients with an adjuvant. The mixture is then centrifuged to separate the components of the vaccine. The vaccine is then administered to the patient, typically through injection."
790,530Describe the immune response to a pathogen,530,Describe the life cycle of a plant,Natural Sciences,Biomedical and Health Sciences,Describe the immune response to a pathogen,Immunology,"(seeds, germinate, soil) like (antigen, triggers, antibodies). (leaves, photosynthesize, sunlight) like (macrophages, phagocytose, bacteria). (roots, absorb, water) like (lymphocytes, identify, pathogens)","The life cycle of a plant starts with the germination of a seed in the soil. The seedling then begins to grow, and leaves emerge. The leaves use sunlight and carbon dioxide to photosynthesize and produce energy for the plant. Meanwhile, the roots of the plant are busy absorbing water and minerals from the soil. This energy and water are used to help the plant grow and reproduce.","When a pathogen enters the body, the antigen triggers an immune response. Macrophages are the first line of defense and they phagocytose the bacteria. Lymphocytes also play a role in the immune response by identifying the pathogens and producing antibodies to fight them."
793,1014Describe how to construct a bridge.,1014,Describe how to make a cake.,Engineering,Social Sciences,Describe how to construct a bridge.,Civil Engineering,"(flour, combine, butter) like (beams, combine, girders). (eggs, whisk, sugar) like (concrete, mix, gravel). (baking powder, add, milk) like (rebar, add, tension cables)","To make a cake, you first need to combine the flour and butter together. Then whisk the eggs and sugar together until the mixture is light and fluffy. Finally, add baking powder and milk to the mixture to create the cake batter.","Constructing a bridge requires a few key steps. Beams are used to combine girders, which provide the main support of the bridge. Concrete is then mixed with gravel and poured into the girders to form the base of the bridge. Rebar is then added to the concrete to provide extra strength and tension cables are used for additional support."
