,sample_id,source_paragraph,target_paragraph,ground_truth,type
175,526Describe the life cycle of a butterfly,"Humans reproduce to create offspring. These babies develop into children and then eventually into adults. Eventually, these adults will die of old age and the cycle will start all over again.","Butterflies reproduce by laying eggs that hatch into larvae, commonly known as caterpillars.
  The caterpillars then develop into adult butterflies by going through the process of metamorphosis.
  Once fully grown, the butterflies will search for food and reproduce, until they eventually die of natural causes.",1,far analogy
176,441How does a refrigerator cool down the air?,"Perspiration is the body's way of cooling itself down. When the body perspires, it releases sweat which then evaporates and takes heat away from the body. The evaporation of perspiration also absorbs energy from the body, further helping to cool the body down. Additionally, when the sweat evaporates, it takes heat with it and the water droplets left behind cool the body.","A refrigerator uses refrigerant to cool down the air. The refrigerant evaporates, taking away heat from the air and absorbing energy from the compressor. The evaporated coolant is then cooled and circulated throughout the refrigerator. This coolant cools the air and circulates it throughout the refrigerator, thus cooling down the air.",1,far analogy
177,641Describe the life cycle of a robot,"The life cycle of a frog begins with an egg, which develops into a tadpole.
 The tadpole slowly transforms into a frog, with its body slowly changing to the shape of a frog.
 Once it becomes a frog, the frog produces eggs, completing the cycle."," The process begins with the creation of a prototype using a microchip. Following this, the microchip is developed. The prototype is then transformed into a robot. Finally, the robot is used to produce new microchips.",0,distractor
178,58How does a bridge withstand the wind?,"Floods happen when there is an excessive amount of rainfall in a certain area.
  The rain causes the ground to be saturated, leading to flooding.
  The flood water can damage buildings and crops, as well as cause disruption to transport and other infrastructure.
  In addition, rivers can overflow their banks due to the high levels of water, leading to even further flooding."," The wind causes vibration and can damage structures. The wind can produce a force that pushes the bridge sideways and could cause it to collapse if not designed properly. Engineers must build bridges in such a way that the wind does not exert too much force on the bridge, and that the bridge is able to withstand the vibration caused by the wind. After building the bridge, engineers must design bridges to withstand the forces the wind exerts.",0,distractor
179,1137How does the human immune system respond to a virus?,"Owls have the unique ability to hunt at night. They use their sharp vision to locate their prey even in the dark. As they spot their target, they swoop down silently to capture it. This is made possible by their exceptional night vision and their silent flying abilities.","Gather the ingredients for the cake.
Mix the flour, sugar, egg, and water to make batter.
Pour the mixture into a cake pan.
Place the cake in the oven to cook.
Take the cake out when it is cooked through.
Let the cake cool.
Serve the cake.",0,random
180,640How does a robotic arm assembly works?,"A fish begins its life cycle when it hatches from an egg. At first, the fish is small and relies on its yolk sac for nutrition. As the fish matures, it begins to feed on food and grow in size. As the fish grows, it undergoes various changes such as developing different body structures and behaviors. Eventually, the fish reaches sexual maturity and is able to reproduce. This completes the life cycle of a fish.","Blood sugar levels increase after a meal.
Cells in the pancreas release insulin.
Insulin causes the body to absorb glucose from the blood.
Blood sugar goes back to normal.
Blood sugar is too low.
The amount of insulin goes down.
Cells in the pancreas release glucagon.
The liver turns stored glycogen into glucose.
The liver releases the glucose into the blood.
Blood sugar goes back to normal.",0,random
181,747How does a volcano form?,"Caverns are formed by a process of erosion. Rainwater erodes the rocks and the sediment that comes along with it. The dissolved minerals in the water fill the cracks and crevices of the rocks. Over time, the ground water dissolves the limestone and other rocks, causing the formation of a cavern.","Coal is mixed with hot air in a power station.
Water is sent through pipes in the power station.
The water pipes go through a firebox in the power station.
The coal is put in the air in the firebox.
The water heats up so it's very hot.
The water turns into steam.
The steam is pushed out of the pipes into a separate area.
The steam powers turbines.
Magnets in the turbines spin in wire coils.
Electricity is produced.",0,random
182,424How does information flow through a network of computers?,"Oil is extracted from the ground using drilling equipment.
 It is then transported by pipeline to a refinery, where it is processed and stored in tanks.
 From there, the oil is transported to a gas station where it is stored in tanks and dispensed for use."," The data is first moved around the network for exchange between computers. Then, information is extracted from the web and transmitted through cables. Afterward, the data is stored in databases for computer access. Finally, computers process the stored information.",0,distractor
183,701Describe the process of global warming,"The greenhouse effect is a process in which the Sun emits infrared radiation, which is then absorbed by the Earth's atmosphere. This absorbed radiation then causes the Earth to become warmer. Carbon dioxide in the atmosphere traps the heat, creating a barrier that prevents the heat from escaping. Additionally, the ozone layer in the atmosphere absorbs ultraviolet radiation, further contributing to the greenhouse effect."," Global warming is an increase in the average temperature of the Earth's atmosphere and oceans. These gases trap the solar radiation that is emitted by the sun, preventing it from escaping into space. The cause of this is the increasing concentrations of greenhouse gases, such as carbon dioxide and methane, in the atmosphere. The ozone layer also plays an important role in global warming, as it absorbs some of the ultraviolet radiation that reaches the Earth.",0,distractor
184,300How does a virus replicate itself?,"Bacteria are microscopic organisms that can invade cells, reproduce, and produce toxins. When present in the body, these toxins can trigger an immune response that leads to inflammation and tissue damage. Bacteria can also cause diseases by producing enzymes that interfere with normal cell functions. Ultimately, bacteria can cause diseases by invading cells, producing toxins, and triggering inflammation.","A virus is able to invade a host cell and replicate itself.
  Once a virus has invaded the cell, it will use the cell's resources to produce its own proteins.
  These proteins trigger the cell to produce more viruses, which can then spread and cause an immune response.",1,close analogy
185,529Describe the life cycle of a human,"A rabbit begins its life cycle as a baby, typically born in a nest of fur. It then grows into adulthood and is able to reproduce, creating more young rabbits. As the rabbit ages, it eventually dies of old age and the cycle repeats."," A human is born as a baby. Then, the human will grow old and die of old age. After dying of old age, the human is able to reproduce and create young of their own species. Finally, after reproducing, the human grows into adulthood.",0,distractor
186,425How does natural gas get from the reservoir to an electricity plant?,"Oil is extracted from the ground by drilling, and it is then transported by pipeline.
  The oil is then refined in a refinery, where it is converted into various products such as gasoline and diesel fuel.
  The refined oil is then distributed to gas stations all over the country, where it is sold to consumers."," Natural gas is extracted from a reservoir through drilling and pumping. The processed natural gas is then delivered to the electricity plant. After being delivered, the gas is transported by pipeline to the processing plant. At the processing plant, the natural gas is cleaned and purified. Finally, the natural gas is used to generate electricity at the electricity plant.",0,distractor
187,737How do people help companies promote their products?,"Animals are an important factor in the dispersal of plant seeds. They carry the seeds in their fur or on their bodies to other locations. Birds also help spread the seeds as they travel and feed. In addition, insects can transport seeds between plants. All these animals help to spread the seeds far and wide, aiding in the propagation of new plants.",People help companies promote their products by carrying the marketing message to their target audience. Influencers are very effective in spreading brand awareness in a cost-effective manner. Advertisers transport the advertising message to the public through different media.,1,far analogy
188,588How does a mechanical system of water pump works?,"The lifecycle of a butterfly starts with an egg, which develops into a caterpillar.
 The caterpillar feeds on plants and slowly transforms into a chrysalis.
 After a few weeks, the chrysalis will break open and a beautiful butterfly emerges from inside.
 The butterfly will then start its own lifecycle, laying eggs that will develop into caterpillars.","The pressure tank develops into a pump, which then transforms into a pressure system.
 This pressure system then emerges as a water pump.
 The pump is responsible for taking water from the pressure tank and pushing it through the pipes, thus creating a mechanical system of water pump.",1,far analogy
189,950What happens during erosion?,Weathering is the process of breaking down surface rocks into smaller particles. Wind is an example of mechanical weathering where it wears away the surface rocks. Sunlight is an example of chemical weathering where it breaks down minerals. Rain is an example of hydrologic weathering where it washes away particles.,"Skin is cut or damaged.
Bacteria enters through the wound.
The bacteria reproduces and spreads.
Causes symptoms.
The bacteria is either fought off or becomes a disease.",0,random
190,666Describe the process of filtration,"Desalination is the process of removing salts from seawater.
  The seawater passes through a semipermeable membrane, which allows only certain molecules to pass through.
  The dissolved salts are separated from other molecules and the saline solution is filtered out from the fresh water. This process is used to create fresh water from seawater.","The filtration process involves water passing through a filter.
  The filter is designed to separate contaminants from other substances, such as dirt and debris, that are present in the water.
  The contaminants are filtered out from the clean water, leaving the waste behind.",1,far analogy
191,526Describe the life cycle of a tree,"Humans reproduce by creating offspring, which begin as an embryo.
 The embryo then begins to grow and develop until it reaches maturity.
 At this stage, humans can live a full life, though they will age over time.
 Eventually, humans will pass away, completing the life cycle.","An area is at a higher elevation than the surrounding area.
Rain falls.
Water is in the area of high elevation.
The water creates a stream.
The stream moves towards lower elevation.
The stream continues along the same path for a long time.
The soil and rocks erode where the stream touches them.
The stream moves deeper into the soil.
The stream is smaller than the eroded area.",0,random
192,1049How does a rock form?,"Rust forms when oxygen reacts with iron.
 The combination of oxygen and iron creates a chemical reaction that produces iron oxide.
 Hydrogen also combines with iron to form iron hydride.
 Moisture accelerates the corrosion process and helps to create rust."," The addition of heat accelerates the crystallization process, resulting in a solid rock. After the rock has formed, water reacts with minerals such as quartz, feldspar, and mica. Finally, the water combines with the minerals and carbon dioxide combines with calcium to form a sedimentary rock.",0,distractor
193,113What occurs during cellular respiration?,"During photosynthesis, chlorophyll absorbs sunlight which provides the energy needed to convert water and carbon dioxide into glucose and oxygen. The glucose produced is used for energy and the oxygen is released into the atmosphere. The carbon dioxide that is taken in is released back into the atmosphere as a byproduct.","Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",0,random
194,31How are sinkholes formed?,"Caverns are formed when water erodes away at rock, dissolving the rock and breaking down the limestone. This process of erosion continues over time, resulting in the creation of an underground cave. The water continues to erode away at the rock, gradually forming the cavern."," Rainwater erodes the soil. Following the erosion, the bedrock collapses and creates a subsidence. After the bedrock collapses, acid in the rainwater breaks down sediment, causing the bedrock to become unstable. Eventually, the subsidence creates a sinkhole, despite the bedrock already having collapsed.",0,distractor
195,140How do the kidneys work?,"The lungs absorb oxygen from the air and expel carbon dioxide. This exchange of gases happens in the alveoli, which are tiny air sacs at the end of the bronchial tubes. Oxygen is taken in, and carbon dioxide is released. The alveoli allow oxygen to be circulated throughout the body while carbon dioxide is removed.","The kidneys are responsible for many important functions in the body.
 They absorb nutrients and expel waste.
 The process of absorption and elimination is facilitated by the nephrons, which are small structures that exchange fluids in the kidneys.
 The nephrons filter the blood and absorb the necessary nutrients, while also expelling the waste and other harmful substances from the body.",1,close analogy
196,212How does the formation of clouds occur?,"Rain occurs when water vapor is created through the process of evaporation.
  The sun's energy heats the ground, causing warm air to rise up into the atmosphere.
  The warm air then cools and condenses, forming clouds.
  The clouds become too heavy with water droplets and eventually precipitate, resulting in rain."," The air rises to a higher altitude. After rising, the sun's energy heats the air. At the higher altitude, the air cools and condenses to form clouds. The condensation creates tiny water droplets that accumulate together to form larger clouds.",0,distractor
197,1203How do hormones regulate physiological processes?,The process of protein synthesis starts with the DNA which contains the information that codes for the specific proteins. This information is then used by ribosomes which produce amino acids. These amino acids are then linked together by enzymes to create the proteins. The enzymes also activate the proteins to ensure that they fulfill their intended functions.,"Hormones are chemical messengers that play a key role in regulating physiological processes. The DNA in the cells codes for the hormones, which are then produced by certain glands. Enzymes in the cells activate the hormones, which then travel through the bloodstream to target organs and tissues. The hormones bind to receptors in the target organs, which then trigger specific physiological responses.",1,close analogy
198,499Describe how a solar cell works,"A flashlight is powered by a battery that stores electrical energy.
  The switch activates the electrical circuit, causing the electrical energy to flow from the battery to the light bulb.
  This energy is then converted into light, which is emitted from the light bulb."," When light hits the solar cell, the sensor is activated. The electrical energy then powers a light-emitting diode. Afterward, the photovoltaic circuit is activated. The solar energy is then converted into electrical energy. Finally, the diode emits light to power various electrical devices.",0,distractor
199,135How does a radar system work?,"Bats use echolocation to navigate in the dark. They emit sound waves from their mouth or nose, and then listen to the echoes that bounce back from objects in the environment. By interpreting the echoes, bats can determine the size and shape of objects, as well as their distance and direction.","A radar system works by emitting radio waves into the environment.
  These radio waves travel outward, and bounce off objects in their path.
  The radar then listens to the reflections of the radio waves, and interprets them to determine the location, speed, and size of objects in the environment.",1,far analogy
200,441How does a refrigerator cool down the air?,"Perspiration is the body's way of cooling itself down. When the body perspires, it releases sweat which then evaporates and takes heat away from the body. The evaporation of perspiration also absorbs energy from the body, further helping to cool the body down. Additionally, when the sweat evaporates, it takes heat with it and the water droplets left behind cool the body.","Dead organic material accumulates on the bottom of oceans, riverbeds or swamps, mixing with mud and sand.
Over time, more sediment piles on top.
The resulting heat and pressure transforms the organic layer into a dark and waxy substance known as kerogen.
Left alone, the kerogen molecules eventually crack.
The molecules break up into shorter and lighter molecules composed almost solely of carbon and hydrogen atoms.
It will turn into either petroleum or natural gas.",0,random
201,1106Describe the life cycle of a bacterium.,"The life cycle of a plant starts with a seed. The seed germinates and a seedling emerges. The roots grow and absorb water and nutrients from the soil. The leaves unfold and photosynthesize sunlight. This helps the plant to produce energy and grow. Eventually, the plant will flower and produce more seeds, completing its life cycle.","Plants produce seedlings.
The animal passes by the plant.
Eats from the plant or brushes the plant with the animal's fur.
The seeds are eaten by the animal or become attached to the fur.
The seed is digested by the animal and excreted into a new area.
The seeds attached to the animal's fur fall off into a new area.",0,random
202,11What happens during deforestation of a rainforest?,"The ocean waves erode the coastline by breaking down rocks and carrying them away.
  Water currents also erode sediment, further contributing to the erosion of the coastline.
  Salt water can dissolve rocks and minerals, adding to the erosion process."," Deforestation of a rainforest is caused by logging, cutting and removal of trees. The use of fire further exacerbates dying vegetation before the lack of trees leads to dying vegetation. The rainforest is eroded by reducing the number of trees present. The lack of trees leads to dying vegetation. Chemical pollutants from nearby industry dissolve the soil. Further erosion of the rainforest occurs due to dissolved soil.",0,distractor
203,666Describe the process of dialysis,"Desalination is the process of removing salt and other impurities from saltwater.
  Saltwater is passed through a semipermeable membrane that allows the water to pass through but separates and removes the impurities.
  As a result of this process, desalinated water is produced.","Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",0,random
204,784How do viruses use cells to help spread their genetic information?,"Plants rely on animals to help disperse their seeds.
 The seeds of a plant may attach themselves to the fur of an animal, who then carries the seeds to a new location.
 The animals may eat the seeds and, in the process, deposit them in a new area, thus ensuring the plants’ ability to spread to new locations."," The cells carry the genetic material of the virus and spread it to other cells. After the cells have spread the virus, the viruses attach their genetic material to surface proteins of cells. Finally, the viruses enter and use the cells to replicate.",0,distractor
205,1143Describe how human activities can negatively affect wildlife,"Forest fires can have devastating effects on animals by destroying their habitats and depleting their food sources. The flames can ravage the land and pollute the air, making it difficult for animals to survive. In addition, smoke and ash can cause animals to become ill, and the destruction of their habitats can force them to relocate or even become extinct.","Human activities can have a negative impact on wildlife in a variety of ways. For example, human activities can destroy wildlife habitats, deplete food sources, and pollute the air. These activities can lead to a decrease in biodiversity and an increase in the threat of extinction for some species.",1,far analogy
206,56How does rain form?,"Snow forms when water vapor in the atmosphere condenses into clouds.
 As the temperature of the air decreases, it reaches the saturation point and the water vapor begins to condense and form droplets.
 These droplets attach to dust particles in the atmosphere and form ice crystals.
 The crystals grow as more water vapor condenses, eventually forming tiny snowflakes.","The kidneys receive blood from the renal artery.
They process it with millions of tiny nephrons.
Remove all the waste.
The kidneys return the blood back to the body through the renal artery.
Send the urine with the waste to the bladder through the ureters.",0,random
207,397How does a solar-powered generator create energy?,"A wind-powered power station generates electricity by using wind turbines that capture kinetic energy from the wind.
  This energy is then converted by a generator into electricity, which then flows through power lines to be used in homes and businesses.
  The wind turbine captures the kinetic energy of the wind and converts it into electrical energy by spinning a generator, which then causes electricity to flow through the power lines.","A solar-powered generator works by capturing solar energy with solar panels.
  The generator then converts this solar energy into electricity, which flows through wires.
  The electricity generated by the generator can then be used to power various electrical appliances.",1,close analogy
208,1167How is language created?,"Sunlight is created from nuclear fusion reactions in the core of the sun.
 In this process, the nuclei of hydrogen protons collide to create helium.
 The energy created from this reaction is emitted as electromagnetic radiation from the sun in the form of light and heat.","Language is created through grammar which produces meaning.
 Words are combined to create sentences that can be understood.
 These words are then spoken and emitted from the mouth.
 The combination of words, grammar, and speech allows us to communicate and understand each other.",1,far analogy
209,186How does bacteria grow on metal surfaces?,"Mold is a fungus that feeds on carbohydrates found in bread.
 Moisture helps the mold spores to grow and spread.
 Warmth accelerates the growth of mold and encourages the spread of its spores."," Heat provides an ideal temperature for bacterial reproduction, accelerating growth. At this point, organic material is present on metal surfaces. Then, humidity provides the necessary moisture for bacterial growth. Finally, bacteria begins to grow on the metal surfaces.",0,distractor
210,617Describe how nutrients travel through the vascular system,"Oxygen is inhaled into the lungs and absorbed into the bloodstream.
 The oxygen then travels through the red blood cells, where hemoglobin binds to it and carries it to the cells in the body.
 Hemoglobin is responsible for transporting oxygen throughout the body, carrying it to the cells that need it.","Nutrients are absorbed by the intestines and transported through the vascular system.
 The nutrients then travel through the veins towards the heart.
 Once they reach the heart, they are then carried throughout the body by the plasma in the bloodstream.
 The plasma carries the nutrients to the cells, allowing them to receive the necessary nutrients they need to function.",1,close analogy
211,611Describe how viruses can cause illness.,"Bacteria can cause disease when they infect a host.
 Once inside the host, the bacteria can multiply rapidly.
 As the bacteria grows, it produces toxins that can cause damage to the host's cells.
 This damage can cause a range of symptoms, from mild to severe, depending on the type of bacteria and the amount produced.","Viruses are able to cause illness by infecting a host and multiplying rapidly.
 The virus produces toxins that can disrupt the normal functioning of the body, leading to a sickness.
 The viruses will continue to spread and multiply until the host's immune system is able to fight off the virus.",1,close analogy
212,494Describe the process of cooling a computer system,"Hibernation is the process in which animals slow down their metabolism to conserve energy. During hibernation, the body temperature of the animal drops below normal and the heart rate slows considerably. The breathing rate decreases significantly and the animal enters a state of torpor. This helps them survive the cold winter months with minimal energy expenditure.","DNA replication is initiated by proteins.
The hydrogen bonds that hold together a strand of DNA are broken.
A polymerase reads each side of the strand.
Adds complimentary nucleotides.
Once all the bases are matched, the new DNA strand is formed.
DNA ligase seals the new pieces into two new strands.",0,random
213,743How do wind currents disperse spores?,"Bees are important pollinators. They transport pollens from one flower to another, which is how plants are pollinated. Bees carry the pollens on their bodies and spread them as they move from one flower to another. This helps ensure that the pollens are distributed evenly and that the plants can reproduce.","Wind currents are responsible for dispersing spores.
 The wind currents transport and carry the spores, making them airborne and allowing them to spread over great distances.
 The wind currents enable the spores to travel to various areas, thus allowing them to be spread far and wide.",1,close analogy
214,113What occurs during cellular respiration?,"During photosynthesis, chlorophyll absorbs sunlight which provides the energy needed to convert water and carbon dioxide into glucose and oxygen. The glucose produced is used for energy and the oxygen is released into the atmosphere. The carbon dioxide that is taken in is released back into the atmosphere as a byproduct."," Carbon dioxide is released into the atmosphere as a result of cellular respiration. Following this release, the mitochondria absorb oxygen from the environment. Then, oxygen is used to convert glucose into energy in the form of ATP. Finally, living organisms gain the energy they need to survive through this process.",0,distractor
215,116How do viruses replicate?,"Mountains are formed by tectonic plates moving apart, which causes the rock layers to be pushed up and form mountains. As the tectonic plates move apart, sediments accumulate in the area and form the mountain base. Additionally, volcanic activity can create mountains as they spew out molten rock and ash that accumulates to form a mountain.","Someone is infected with bacteria.
That bacteria begins to grow and reproduce inside the cells.
The dividing bacteria begin to make toxins.
Those toxins damage your cells.
Disease symptoms may begin.",0,random
216,15How does the nitrogen cycle work?,"The water cycle is the continuous circulation of water between the atmosphere and Earth's surface.
  The process begins with evaporation, which converts liquid water into water vapor.
  The water vapor rises and cools, forming clouds.
  The condensation of this water vapor forms clouds, which eventually precipitate and deposit the water back onto Earth's surface.","Several types of gases form in the atmosphere.
May come from different sources.
The gases remain trapped in the atmosphere.
Through the suns light the gases hold in heat and energy.
Trap them in our atmosphere.
The earth may become warmer this way.",0,random
217,834How does a bacteria infect a plant?,"A virus infects an animal by invading its cells.
 The virus can enter the animal's body through contact with contaminated surfaces, or by being breathed in or ingested.
 Once inside the animal, the virus will replicate itself, using the animal's cells to do so.
 This allows the virus to spread rapidly throughout the animal's body, causing infection."," Inside the plant cell, the bacteria multiplies and spreads. Following this, the bacteria enters the plant’s cell through the stomata or wounds. Eventually, the bacteria takes over the plant. Finally, the bacteria continues to replicate itself until the infection is complete.",0,distractor
218,48What happens during a steam turbine power plant operation?,"During a volcanic eruption, magma releases molten rock from the Earth's interior. This molten rock is called lava and it flows downhill in rivers. As the lava flows, volcanic ash and other materials are released into the air, which rises up high into the sky.","During a steam turbine power plant operation, a boiler releases steam.
  The steam flows toward the turbine, causing it to rotate as it rises in the air.
  The rotation of the turbine causes the generator to produce electricity. The electricity is then used to power the facility.",1,far analogy
219,425How does water get from the ground to a household?,"Oil is extracted from an underground reservoir and transported by pipelines.
 From here, it is transported to a refinery where it is refined and processed into the fuel we use in our vehicles.
 The refined oil is then transported to gas stations via tankers, where it can be purchased for use in our cars.","A forest fire starts.
The trees and plants burn.
The animals lose their homes.
If the animals can not escape, they may die from smoke inhalation.
The plants that provide food are gone.
The animals have little to eat.",0,random
220,1223How does a geothermal power plant work?,"A nuclear power plant works by using a nuclear reactor to produce energy.
 The reactor uses nuclear fission to split atoms and release heat.
 This heat is then transported away from the reactor by a coolant, which is pumped through the reactor and the rest of the power plant.
 The heat is used to generate steam, which drives a turbine and provides the power for the plant.","A geothermal power plant utilizes energy generated from the Earth's internal heat.
 The heat from a geothermal reservoir is used to produce steam, which is then released into the atmosphere.
 The geothermal steam releases a large amount of heat energy that is collected by a turbine.
 The turbine is connected to a generator, which produces electricity.
 Water is then used to transport the heat from the geothermal steam to the generator, which converts it into electricity.",1,far analogy
221,159Describe the process of composting food waste,The process of recycling an aluminum can starts by collecting aluminum cans at a recycling facility. The cans are then melted down into a molten form. The molten aluminum is then formed into new cans that can be used again.,"Composting food waste is an effective way to reduce waste while also producing nutrient-rich soil. Food waste is collected and taken to a composting facility, where it is decomposed over a period of time. The end result is a nutrient-rich soil that can be used as a fertilizer for plants and gardens.",1,far analogy
222,834How does a bacteria infect a human?,"A virus is a microscopic infectious agent that enters into a cell of an animal. Once inside, the virus replicates itself and begins to cause a disease. The virus hijacks the cellular machinery of the host cell and forces it to produce more virus particles. This process can cause a wide range of diseases in the animal.","A female fish lays eggs.
Larvae hatch from the eggs.
The larvae eat and grow.
The larvae form into juvenile fish.
The juvenile fish grow into adult fish.
The adult fish mate.
The female fish lays eggs.",0,random
223,686Describe the process of wastewater treatment,"Photosynthesis is the process by which plants use light to produce energy. Light provides the energy needed to convert carbon dioxide and water into glucose, a sugar used as a source of energy for the plant. Carbon dioxide is absorbed by the plant from the atmosphere, while water is taken in through the roots. Oxygen is then released into the atmosphere as a byproduct of the process.","Wastewater treatment is a process that involves several steps. Firstly, chemicals are added to the wastewater to provide necessary nutrients for bacteria which can absorb pollutants. The bacteria then break down the pollutants, and the clean water is then released into rivers.",1,far analogy
224,686Describe the process of wastewater treatment,"Photosynthesis is the process by which plants use light to produce energy. Light provides the energy needed to convert carbon dioxide and water into glucose, a sugar used as a source of energy for the plant. Carbon dioxide is absorbed by the plant from the atmosphere, while water is taken in through the roots. Oxygen is then released into the atmosphere as a byproduct of the process.","Begin the party.
Partake in activities.
Bring out the cake.
Sing ""Happy Birthday!"".
Blow out the candles.
Eat the cake.
Open the presents.",0,random
225,132What does a filter do?,"The lungs are an essential part of respiration. They take in oxygen from the air, expel carbon dioxide, and purify the air we breathe. Oxygen is absorbed by the alveoli in the lungs, which then transports it to the bloodstream. Carbon dioxide is expelled from the bloodstream into the lungs, where it is released into the atmosphere. The lungs help to filter out dust and other particles from the air, ensuring that we breathe clean and healthy air."," A filter purifies the liquid or air by removing any unwanted particles. After purification, the filter traps particles as a liquid or air passes through it. Finally, the filter takes in particles and expels contaminants.",0,distractor
226,135How do submarines use sonar?,"Bats use echolocation to navigate and find food. They emit high frequency sound waves that bounce off of objects in their environment. The bats then receive the echoes and interpret the information to locate their prey and navigate their surroundings. The echo provides the bats with information about the shape, size, and distance of the object."," Submarines interpret the echo to determine the distance and size of the object. After interpreting the echo, they emit sound waves, which travel through the water and bounce off the objects. These sound waves are then received back as an echo. Finally, submarines use sonar technology to detect objects in the water.",0,distractor
227,186How does bacteria grow on meat?,"Mold reproduces by releasing spores into the air.
  When these spores come into contact with bread, they can grow and create mold.
  Moisture encourages the growth of fungi, so bread that is kept in damp conditions is more likely to grow mold.
  In addition, warmth accelerates the growth of mold, making it even more likely to form on the bread.","Water is exposed to heat energy, like sunlight.
The water temperature is raised above 212 degrees fahrenheit.
The heat breaks down the molecules in the water.
These molecules escape from the water.
The water becomes vapor.
The vapor evaporates into the atmosphere.",0,random
228,298Describe how viruses can cause infection.,"Bacteria can cause disease by invading cells of the host organism and releasing toxins which damage the host cells. Bacterial enzymes can also inhibit the normal functioning of the host cell. This disruption of normal functions can lead to a variety of diseases, depending on the type of bacteria, the type of host cell, and the environment in which the bacteria are living.","Viruses can cause infection when they invade a host cell.
 Once inside the cell, viral proteins can damage the host cell and inhibit its functions.
 The viral particles then replicate and spread to other cells, in the process further damaging and inhibiting the cells' functions.",1,close analogy
229,1217How do coral reefs form?,"Forests are formed when trees absorb carbon dioxide and use it to grow. 
 The process starts when seeds germinate in the soil and develop into saplings.
 The saplings then form roots that anchor the tree in the ground and allow it to absorb more nutrients.
 As the trees grow, they form a dense canopy that provides shelter and shade to the forest floor."," Coral polyps use their tentacles to capture food and to anchor themselves to the reef, which allows the coral reef to grow. Following this, spores of the polyps germinate in the sediment and form a colony. After the colony is formed, the coral polyps absorb calcium carbonate from the ocean to build a hard skeleton.",0,distractor
230,50How do proteins form?,"Minerals are formed when elements combine together. Heat from inside the Earth's crust can cause melting that encourages the elements to bond together. Pressure from the Earth's surface can also cause the elements to crystallize, resulting in the formation of minerals.","A sperm meets an egg in the uterus of a woman.
The sperm implants itself into the egg.
The sperm and egg form a zygote on the wall of the uterus.
The fetus grows and develops.
The woman gives birth to a baby.
The baby is raised by parents until it is able to take care of itself.
The person goes out into the world and finds a job.
The person meets other people and has a life.
The person gets a career, and gets married.
The person retires and eventually passes away.",0,random
231,880How does the water cycle work?,"Rain occurs when the atmospheric moisture is increased by evaporation.
 The water vapor then condenses, forming clouds.
 When enough water vapor condenses, the clouds become heavy and precipitation falls as rain.","Thunderstorms form over the ocean.
An area of low pressure causes rotation.
Several thunderstorms come together around this area.
The storm is fed by rising air from warm ocean water evaporating.
When the wind speeds reach 74 mph the storm is considered a hurricane.",0,random
232,618How does a ventilation system of a hospital work?,"The lungs are responsible for exchanging oxygen and carbon dioxide. Oxygen is inhaled and diffused into the bloodstream. The respiratory system then transports oxygen throughout the body. The blood carries the oxygen, allowing it to reach the cells. The oxygen is then used by the cells to carry out cellular functions.","Fish start as eggs.
The eggs hatch.
A larvae emerges.
The larvae matures and grows.
The larvae becomes an ""adolescent"" fish (or fry).
The adolescent fish grows.
The fish might go through several sub-stages, depend on its species or type.
The fish is now a mature adult.
The adult fish can lay more eggs.",0,random
233,529Describe the life cycle of a human,"A rabbit begins its life cycle as a baby, typically born in a nest of fur. It then grows into adulthood and is able to reproduce, creating more young rabbits. As the rabbit ages, it eventually dies of old age and the cycle repeats.","You wash the wound.
You apply a bandaid or other covering if needed.
The blood clots.
A scab forms.
The skin repairs itself under the protective cover of the scab.
The scab falls off.",0,random
234,369How do human beings obtain and use nutrients?,"Plants obtain water from the soil. Their roots absorb the water from the soil and transport it up to the stem. From the stem, the water travels up to the leaves. In the leaves, the water is used in photosynthesis, which is the process by which plants convert light energy into chemical energy. The water is used to create organic molecules such as sugars, which are used as fuel for the plant.","Human beings obtain nutrients from the food that they eat.
 The intestines absorb the nutrients from the food and transports them to the blood.
 The blood circulates the nutrients throughout the body and transports them to the cells, where they can be metabolized and used to provide energy.",1,far analogy
235,1099How do antibodies work?,"Vaccinations work by stimulating the body's immune system.
 A vaccine contains an inactive version of a virus or bacteria.
 When the vaccine is injected into the body, it activates the T-cells, which are the immune system's main defense against pathogens.
 The T-cells recognize the inactive virus or bacteria and respond by producing memory cells.
 These memory cells remain in the body, allowing the immune system to recognize the virus or bacteria if it is encountered again and respond quickly, preventing the infection from taking hold.","Antigens stimulate the production of antibodies by activating B-cells. After the antibodies are produced, memory B-cells are created to recognize the same antigen if it enters the body again. The antibodies then recognize and bind to the antigen, helping to protect the body from infection or disease.",1,far analogy
